FID,fid,Geometry,name,visibility,open,address,phoneNumber,description,LookAt,Region,Folder
geonode_new_caledonia_t1.40,40,POINT (164.98641902600002 -21.33068603499993),new_caledonia_t1.111,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0421</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.98641902600002 -21.33068603499993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.41,41,POINT (165.00843099300005 -21.29706798099994),new_caledonia_t1.112,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0431</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.00843099300005 -21.29706798099994),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.42,42,POINT (164.89305200100011 -21.091604986999982),new_caledonia_t1.113,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0441</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.89305200100011 -21.091604986999982),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.43,43,POINT (164.70840898300003 -21.035540028999947),new_caledonia_t1.114,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0451</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.70840898300003 -21.035540028999932),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.44,44,POINT (164.59547700400003 -20.85052602899998),new_caledonia_t1.115,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0461</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.59547700400003 -20.850526029000008),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.45,45,POINT (164.3673390340001 -20.65370796199994),new_caledonia_t1.116,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0471</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.3673390340001 -20.65370796199997),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.46,46,POINT (164.25936302200012 -20.50048802999993),new_caledonia_t1.117,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0481</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.25936302200012 -20.50048802999993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.47,47,POINT (164.2754000330001 -20.50092196099996),new_caledonia_t1.118,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0491</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.2754000330001 -20.50092196099996),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.48,48,POINT (164.30797797600007 -20.489982990999977),new_caledonia_t1.119,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0501</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.30797797600007 -20.489982990999962),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.49,49,POINT (164.3373849620001 -20.46091396399993),new_caledonia_t1.120,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0511</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.3373849620001 -20.460913963999957),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.50,50,POINT (164.36313601200004 -20.446753994999938),new_caledonia_t1.121,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0521</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.36313601200004 -20.446753994999938),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.51,51,POINT (164.40710102200012 -20.410919012999955),new_caledonia_t1.122,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0531</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.40710102200012 -20.410919012999955),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.52,52,POINT (164.42155896700012 -20.28157400899994),new_caledonia_t1.123,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0541</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.42155896700012 -20.281574008999968),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.53,53,POINT (164.631802998 -20.42242803599993),new_caledonia_t1.124,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0551</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.631802998 -20.42242803599993),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.54,54,POINT (164.78675899100006 -20.533082987999933),new_caledonia_t1.125,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0561</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.78675899100006 -20.533082987999933),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.55,55,POINT (164.94370099200012 -20.683053004999977),new_caledonia_t1.126,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0571</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.94370099200012 -20.683053004999977),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.56,56,POINT (165.20753497300007 -20.765740982999944),new_caledonia_t1.127,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0581</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.20753497300007 -20.765740982999958),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.57,57,POINT (165.25159696100002 -20.860080979999964),new_caledonia_t1.128,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0591</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.25159696100002 -20.860080979999992),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.58,58,POINT (165.08340996700008 -20.91898798899996),new_caledonia_t1.129,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0601</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.08340996700008 -20.918987988999973),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.59,59,POINT (165.0187070390001 -20.987294967999958),new_caledonia_t1.130,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0611</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (165.0187070390001 -20.987294967999958),,geonode:new_caledonia_t1
geonode_new_caledonia_t1.60,60,POINT (164.95821199400007 -21.03437100499997),new_caledonia_t1.131,true,true,,,"<h4>new_caledonia_t1</h4>

<ul class=""textattributes"">
  
  
  <li><strong><span class=""atr-name"">Name</span>:</strong> <span class=""atr-value"">0621</span></li>
  
  
  
  
  
  
  
  
</ul>",POINT (164.95821199400007 -21.034371004999954),,geonode:new_caledonia_t1
