FID,fid,the_geom,sample_num,site_name,eastings,Northings,Geology,Rock,Catchment,soil_87sr,_2se,plant_87sr,_2se_1,sp,combined_8
CapeYork_soilplant.19,19,POINT (143.68091 -16.55566),19,Gamboola,143.68091,-16.55566,K,Clastic,Mitchell,0.723922,0.000012,0.724194,0.000012,-0.000135,0.724058
CapeYork_soilplant.20,20,POINT (143.13234 -16.43779),20,Highbury Station Turnoff,143.13234,-16.43779,Qa,Alluvial,Mitchell,0.732568,0.000045,0.713427,0.000011,0.00957,0.722997
CapeYork_soilplant.21,21,POINT (142.39482 -16.02063),21,Dunbar,142.39482,-16.02063,Qa,Alluvial,Mitchell,0.733127,0.000009,0.734345,0.000011,-0.000608,0.733736
CapeYork_soilplant.22,22,POINT (141.78217 -15.55214),22,Kowanyama Front Gate,141.78217,-15.55214,Qa,Alluvial,Mitchell,0.730649,0.000013,0.73116,0.000012,-0.000255,0.730904
CapeYork_soilplant.23,23,POINT (141.90888 -15.298407),23,Topsy Creek,141.90888,-15.298407,Qa,Alluvial,Mitchell,0.730292,0.000012,0.729106,0.00001,0.000593,0.729699
CapeYork_soilplant.24,24,POINT (141.92017 -15.73436),24,Rutland Plains,141.92017,-15.73436,Qa,Alluvial,Mitchell,0.733828,0.000022,0.732365,0.000013,0.000731,0.733096
CapeYork_soilplant.25,25,POINT (142.44331 -15.89755),25,Koolatah,142.44331,-15.89755,Qa,Alluvial,Mitchell,0.736199,0.000014,0.736119,0.000009,0.000039,0.736158
CapeYork_soilplant.26,26,POINT (142.9218 -15.40484),26,Oriners,142.9218,-15.40484,Qa,Alluvial,Mitchell,0.730497,0.000014,0.731142,0.00001,-0.000322,0.730819
CapeYork_soilplant.27,27,POINT (143.50755 -15.47919),27,Kilarney,143.50755,-15.47919,pP,High Grade Metamorphic,Mitchell,0.72477,0.000014,0.793561,0.000011,-0.034395,0.759165
CapeYork_soilplant.28,28,POINT (143.51836 -15.8674),28,King Junction,143.51836,-15.8674,Qa,Alluvial,Mitchell,0.732223,0.000017,0.734062,0.000011,-0.000919,0.733142
CapeYork_soilplant.29,29,POINT (143.57552 -15.74367),29,King Junction Gate,143.57552,-15.74367,pP,High Grade Metamorphic,Mitchell,0.765411,0.000013,0.763707,0.000011,0.000851,0.764559
CapeYork_soilplant.30,30,POINT (143.62865 -15.57904),30,Pinnacles,143.62865,-15.57904,Cz,Colluvial/Residual,Mitchell,0.718135,0.000172,0.716614,0.000011,0.00076,0.717374
CapeYork_soilplant.31,31,POINT (144.05037 -15.77005),31,Fairlight,144.05037,-15.77005,O1,Clastic,Normanby,0.715804,0.00001,0.715453,0.000011,0.000175,0.715628
CapeYork_soilplant.32,32,POINT (144.08618 -15.97301),32,Palmerville,144.08618,-15.97301,O1,Clastic,Mitchell,0.711566,0.000009,0.711363,0.000009,0.000101,0.711464
CapeYork_soilplant.33,33,POINT (144.313288 -16.100357),33,The Granite,144.313288,-16.100357,D,Clastic,Mitchell,0.766385,0.000014,0.767212,0.000012,-0.000413,0.766798
CapeYork_soilplant.34,34,POINT (144.724749 -16.23481),34,Maitland Downs,144.724749,-16.23481,Qa,Alluvial,Mitchell,0.733282,0.000011,0.733374,0.000011,-0.000046,0.733327
CapeYork_soilplant.35,35,POINT (144.833669 -16.780972),35,Mt Mulligan,144.833669,-16.780972,D,Clastic,Mitchell,0.735174,0.000013,0.73534,0.00001,-0.000083,0.735256
CapeYork_soilplant.36,36,POINT (144.857889 -15.863778),36,Lakeland,144.857889,-15.863778,CzV,Mafic Volcanic,Normanby,0.715254,0.000009,0.713926,0.000009,0.000663,0.714589
CapeYork_soilplant.37,37,POINT (144.430528 -15.550722),37,Laura,144.430528,-15.550722,Qa,Alluvial,Normanby,0.725491,0.000011,0.725219,0.00001,0.000136,0.725355
CapeYork_soilplant.38,38,POINT (143.874317 -15.191372),38,Hahn River,143.874317,-15.191372,Cz,Colluvial/Residual,Normanby,0.715099,0.000009,0.715681,0.000015,-0.00029,0.71539
CapeYork_soilplant.39,39,POINT (143.326733 -15.104369),39,Dixie Station,143.326733,-15.104369,Dei,Felsic Intrusive,Normanby,0.738809,0.000017,0.739936,0.00001,-0.000563,0.739372
CapeYork_soilplant.40,40,POINT (143.503139 -14.784917),40,Musgrave,143.503139,-14.784917,Qa,Alluvial,Normanby,0.74427,0.000016,0.745481,0.000013,-0.000605,0.744875
CapeYork_soilplant.41,41,POINT (143.271 -14.84425),41,Glen Garland,143.271,-14.84425,Dei,Felsic Intrusive,Coleman,0.731744,0.000011,0.73149,0.000011,0.000126,0.731616
